ID,Job_Title,Salary_Estimate,FIELD4,Rating,Company_Name,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer_provided,Lower_Salary,Upper_Salary,Avg_SalaryK,company_txt,Job_Location,Age,Python,spark,aws,excel,sql_,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree
0,"Data Scientist","$53K-$91K (Glassdoor est.)",NULL,3.8,"Tecolote Research
3.8","Albuquerque, NM","Goleta, CA","501 - 1000",1973,"Company - Private","Aerospace & Defense","Aerospace & Defense","$50 to $100 million (USD)",-1,0,0,53,91,72.0,"Tecolote Research",NM,48,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,"data scientist",na,M
1,"Healthcare Data Scientist","$63K-$112K (Glassdoor est.)",NULL,3.4,"University of Maryland Medical System
3.4","Linthicum, MD","Baltimore, MD",10000+,1984,"Other Organization","Health Care Services & Hospitals","Health Care","$2 to $5 billion (USD)",-1,0,0,63,112,87.5,"University of Maryland Medical System",MD,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"data scientist",na,M
2,"Data Scientist","$80K-$90K (Glassdoor est.)",NULL,4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL","501 - 1000",2010,"Company - Private","Security Services","Business Services","$100 to $500 million (USD)",-1,0,0,80,90,85.0,KnowBe4,FL,11,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"data scientist",na,M
3,"Data Scientist","$56K-$97K (Glassdoor est.)",NULL,3.8,"PNNL
3.8","Richland, WA","Richland, WA","1001 - 5000",1965,Government,Energy,"Oil, Gas, Energy & Utilities","$500 million to $1 billion (USD)","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56,97,76.5,PNNL,WA,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"data scientist",na,na
4,"Data Scientist","$86K-$143K (Glassdoor est.)",NULL,2.9,"Affinity Solutions
2.9","New York, NY","New York, NY","51 - 200",1998,"Company - Private","Advertising & Marketing","Business Services","Unknown / Non-Applicable","Commerce Signals, Cardlytics, Yodlee",0,0,86,143,114.5,"Affinity Solutions",NY,23,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"data scientist",na,na
5,"Data Scientist","$71K-$119K (Glassdoor est.)",NULL,3.4,"CyrusOne
3.4","Dallas, TX","Dallas, TX","201 - 500",2000,"Company - Public","Real Estate","Real Estate","$1 to $2 billion (USD)","Digital Realty, CoreSite, Equinix",0,0,71,119,95.0,CyrusOne,TX,21,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,"data scientist",na,na
6,"Data Scientist","$54K-$93K (Glassdoor est.)",NULL,4.1,"ClearOne Advantage
4.1","Baltimore, MD","Baltimore, MD","501 - 1000",2008,"Company - Private","Banks & Credit Unions",Finance,"Unknown / Non-Applicable",-1,0,0,54,93,73.5,"ClearOne Advantage",MD,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"data scientist",na,na
7,"Data Scientist","$86K-$142K (Glassdoor est.)",NULL,3.8,"Logic20/20
3.8","San Jose, CA","Seattle, WA","201 - 500",2005,"Company - Private",Consulting,"Business Services","$25 to $50 million (USD)",-1,0,0,86,142,114.0,Logic20/20,CA,16,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,"data scientist",na,M
8,"Research Scientist","$38K-$84K (Glassdoor est.)",NULL,3.3,"Rochester Regional Health
3.3","Rochester, NY","Rochester, NY",10000+,2014,Hospital,"Health Care Services & Hospitals","Health Care","$500 million to $1 billion (USD)",-1,0,0,38,84,61.0,"Rochester Regional Health",NY,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"other scientist",na,P
9,"Data Scientist","$120K-$160K (Glassdoor est.)",NULL,4.6,"<intent>
4.6","New York, NY","New York, NY","51 - 200",2009,"Company - Private",Internet,"Information Technology","$100 to $500 million (USD)","Clicktripz, SmarterTravel",0,0,120,160,140.0,<intent>,NY,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"data scientist",na,na
